" A spy? Very foolish of you. It will be difficult to report to him when you are dead, won't it? "," ¿Una espía? Es muy tonto por tu parte. Será difícil contárselo a él cuando estés muerta, ¿o no? "
"When you grow up, I bet you want to be good as me","Supongo que cuando crezcas querrás ser tan buena como yo"
"When you're off the drugs come and see me.","Ven a verme cuando no estés drogada."
"Where is your conscience, man? Do you think that life's supposed to be some pretty picture without any misery in it? Life IS misery! Misery, and whatever the hell we decide to do about it!","¿Dónde está tu consciencia, tía? ¿Crees que en la vida no hay sufrimientos y que siempre es maravillosa? ¡La vida ES sufrimiento! ¡Miseria y lo que quiera que decidamos hacer con ella!"
"Which are you, deaf or stupid? Like I said...","¿Eres idiota o estás sorda? Te he dicho que..."
"Who are you? And why are you wearing that suit? [to himself] I haven't seen one of those in a long time.","¿Quién eres tú? Y, ¿por qué vas vestida de esa forma? [A sí mismo] Hace tiempo que no veo uno de esos."
"Who do I approach about volunteering?","¿A quién tengo que dirigirme para ser voluntaria?"
"Why am I a prime normal?","¿Por qué soy una normal pura?"
"Why have you come, Initiate? You know that I do not like to be disturbed.","¿Cómo has entrado, Iniciada? Ya sabes que no me gusta ser molestado."
"Why hello again, aren't we looking handsome today?","¿Por qué saludas otra vez, no estamos guapa hoy?"
"Why, hello there. You must be the new Initiate Talus told me about. It's awfully late for a social call, what can I do for you?","Hola. Debes ser la nueva Iniciada de la que me habló Talus. Es demasiado tarde para una visita de compromiso, ¿qué puedo hacer por ti?"
"Why, hello. I understand you are looking for a job. I'm surprised Rutger hired you, but I'm sure he has his reasons. Our caravans leave here three times a month: on the 8th, 18th and 28th. There are three places we go to on a regular basis: the Brotherhood of Steel, Junktown, and L.A. Boneyard. The pay is always 400 caps, and that's one way. You can come back with the caravan for another 400 caps.","Bien, hola. Me han dicho que buscabas un trabajo. Me sorprende que Rutger te contratara, pero estoy seguro de que tiene sus razones. Nuestras caravanas salen de aquí tres veces al mes: los días 8, 18 y 28. Hay tres sitios a los que vamos regularmente: la Hermandad del Acero, Ciudad Vertedero y el Cementerio. Son 400 chapas solo para la ida. Puedes volver con la caravana para otras 400 chapas."
"Why, honey, I take care of men, and they take care of me in return. Gizmo gets 25% and I supposedly get his protection. You saw how well that went, huh?","Porque, querida, yo cuido a los hombres y ellos a cambio me cuidan a mí Gizmo se queda con el 25% y yo en teoría obtengo su protección. Y ya has visto lo bien que me va, ¿no?"
"Why, when you become one of us, of course! I can't have a perfectly good prime normal and not make it one of the Chosen Ones, now can I? After you tell me where your Vault is.","¡Antes de convertirte en una de los nuestros, claro! No puedo tener a una perfecta normal pura y no convertirla en una de los Elegidos, ¿no? Después de que me digas dónde está tu Refugio."
"Why? I'm not the one who turned you into a mutant!","¿Por qué? ¡Yo no soy la que te convirtió en mutante!"
"With the Gun Runners gone we will never have the chance to arm ourselves. Get outta here! You're not welcome anymore.","Sin los Pistoleros no tendremos la oportunidad de conseguir armas. Fuera de aquí, no eres bienvenida."
"With this Perk, you now have the ability to move quickly and still remain quiet. You can Sneak, and run at the same time. Without this Perk, you would automatically stop Sneaking if you ran.","Con esta Ventaja ahora puedes moverte rápidamente sin hacer ruido. Puedes usar el Sigilo y correr al mismo tiempo. Sin esta Ventaja, dejas de ser Sigilosa en cuanto empiezas a correr."
"Without any proof, I'm afraid I can't believe you. Now, you will join my army as a mutant or you will die! Die! Join!","Me parece que sin pruebas no puedo creerte. Ahora, te unirás a mi ejército como una mutante o morirás. ¡Muere! ¡Únete!"
"Worm ridden Glow Baby!","¡Bebé del Ardor, gusana acorralada!"
"Would you be willing to fight me over her?","¿Estás dispuesta a pelear conmigo por ella?"
"Wow, how are you still alive?","¡Guau! ¿Cómo es que sigues viva?"
"Wrong place? I not lost!","¿En el lugar equivocado? ¡No estoy perdida!"
"Yeah, I noticed that you don't have a bedroll or anything. It must get pretty dirty and uncomfortable out there.","Sííí, ya he visto que no llevas un saco de dormir ni nada así. Debes ponerte muy sucia y debe ser incómodo ir por ahí fuera."
"Yeah, a little maybe. Yer not too bad, kid. But just remember to keep that mouth of yers under control. I'd hate to see a good mouth go to waste.","Sí, un poco quizás. No eres mala, chica. Pero recuerda que debes controlar esa boca tuya. Sería una pena echar a perder una boca tan linda."
"Yeah, punks always aim for the groin","Sí, las mocosas siempre apuntáis a la entrepierna"
"Yeah, that's what I thought. Well, I'm glad you'll be my new roommate. My last one always wore earplugs, I don't know why. Anyhow, feel free to leave anything you like here, I don't take up much space. Do you want the top bunk? I'll change if you want... you don't snore do you? Oh, it doesn't matter. See ya.","Sí, justo lo que pensaba. Bueno, me alegro de que seas mi nueva compañera de habitación. El anterior siempre llevaba tapones en los oídos, no sé por qué. Puedes dejar aquí lo que quieras, yo no necesito mucho sitio. ¿Quieres la litera de arriba? Me cambiaré si quieres... No roncas, ¿verdad? Oh, da igual. Hasta luego."
"Yeah, we serve your kind, too. It'll be 25 caps for the night. A week will cost you 150 caps.","Sí, atendemos a gente como tú. Serán 25 chapas por una noche. Una semana te costará 150 chapas."
"Yeah, well I guess you'll have to find someone else to do your dirty work.","Sí, bueno. Supongo que tendrás que encontrar a otra para que te haga el trabajo sucio."
"Yer my bestest friend.","Sí, querishísimo amiga."
"Yes, hmmm, yes, yes, yes. I shall believe you... for now. But we do not trust easily, especially those who might be dangerous. Know that Seth and I will be watching you.","Sí, mmm, sí, sí, sí. Te creeré... por ahora. No solemos confiar fácilmente en la gente, especialmente en las que pueden ser peligrosas. Ten por seguro que Seth y yo te estaremos vigilando."
"You Hub officials make me sick! Inspecting my bosses' vault! What's next, higher taxes? Can't a man earn an honest living anymore without you bureaucrats trying to control everything? One of these days we're going to take a stand. Yeah, one of these days the common man is going to give you fatcats a knee to the balls like you deserve. One of these days we'll get you real good... I can't wait... By the way, it's not meant personal. I know you're just doing your job. I'll get out of your face while you do your inspection. Bye.","¡Las oficiales del Eje como tú me ponéis enfermo! ¡Inspeccionar el refugio de mis jefes! Qué será después, ¿aumentar los impuestos? ¿No puede un hombre ganarse la vida honradamente sin los burócratas intentando controlarlo todo? Uno de estos días vamos a defender nuestra situación. Síí, uno de estos días el hombre común va a meterte una buena patada en las pelotas, tal y como te mereces. Uno de estos días os pillaremos bien... No puedo esperar... Aunque claro, no es nada personal. Sé que solo haces tu trabajo. Me apartaré de tu cara mientras haces tu inspección. Adiós."
"You again? Fuck off, I don't work with retards that can't pay.","¿Tú de nuevo? Lárgate, no trabajo con retrasadas que no pueden pagar."
"You ain't good enough","No eres lo bastante buena"
"You ain't no Blade!","¡Tú no eres una Navaja!"
"You always were the dirtiest fighter in the Vault","Siempre fuiste la luchadora más sucia de todo el Refugio"
"You are a master of the outdoors, surviving in hostile environments where others would surely perish. For each level of this Perk, you receive +20% to your Outdoorsman skill, and an additional +20% in wilderness survival situations.","Eres una maestra en el exterior, sobrevives en ambientes hostiles donde otros perecen. Por cada nivel de esta Ventaja, recibes un 20% en tu habilidad de Supervivencia, y un 20% adicional en situaciones de supervivencia."
"You are a very good student. I hope you remain on our side. Goodbye.","Eres muy buena estudiante. Espero que sigas de nuestra parte. Adiós."
"You are a weak fool!","¡Eres una tonta debilucha!"
"You are addicted to Buffout. You must take this attractive green pill on an ongoing basis or suffer the effects of withdrawal.","Eres adicta a los Esteroides. Debes tomar estas atractivas píldoras verdes con regularidad o sufrirás los efectos de la abstinencia."
"You are an enemy of the Khans! You attack our warriors and take our women! Give me a reason why I shouldn't cut out your heart!","¡Eres una enemiga de los Khans! ¡Atacas a nuestros guerreros y raptas a nuestras mujeres! Dame una razón por la que no debiera arrancarte el corazón."
"You are an excellent student. Good luck to you.","Eres una estudiante excelente. Que tengas buena suerte."
"You are an idiot! Quality, not quantity! You think the Nightkin care when they're outnumbered? Go cry to your mother, you little baby! Now, do you want to get better or not?","¡Eres idiota! ¡Calidad, no cantidad! ¿Crees que a los Nocturnos les importa que haya demasiados enemigos? Vete a llorarle a tu madre, ¡niñita! Así que, ¿quieres curarte o no?"
"You are arrogant. My assistant will show you through... I mean... to the door.","Eres una arrogante. Mi ayudante te llevará por la... quiero decir... a la puerta."
"You are breaking my concentration! Do you wish to be healed or not?","¡Me está desconcentrando! ¿Desea que la cure o no?"
"You are damning yourself in the eyes of the Master","Te estás condenando a ti misma ante los ojos del Maestro"
"You are free of poison and radiation.","No estás irradiada o envenenada."
"You are fully healed. Take care of yourself in the future, and do come back if you need any more healing. Have a good day!","Estás gravemente herida. Cuídate ahora y vuelve si necesitas curarte. ¡Que tengas un buen día!"
"You are healthy as a brahma, but not as bright! Get out of here, you hypochondriac asshole!","Estás igual de sana que un brahmin, ¡pero no tan lustrosa! Sal de aquí, ¡imbécil hipocondríaca!"
"You are in charge, friend, but the Master is your guide. Praise the Master! Praise the Holy Flame that lights our way!","Tú estás al mando, amiga mía, pero el Maestro es tu guía. ¡Alaba al Maestro! ¡Alaba a la Llama Sagrada que ilumina tu camino!"
"You are injured. Save the casual conversation for later... Please let me heal you...","Tiene heridas de gravedad. Olvide las charlas para más tarde... por favor, deje que la cure..."
"You are more easily addicted to drugs. Your chance to become addicted to substances you use is twice normal, but you recover faster from their ill effects.","Te vuelves adicta a las drogas con más facilidad. Tu predisposición a engancharte a las drogas es dos veces la normal, pero te recuperas con más facilidad de sus efectos nocivos."
"You are much more adept at Stealing than the normal crook. You can Steal with the best of them, because with this Perk, you ignore size and facing modifiers, when stealing from a person.","Eres mucho más experta en Robar que otros del gremio. Podrás Robar a los mejores de ellos, porque con esta Ventaja, ignoras los modificadores de tamaño y de enfrentamiento, cuando robas a alguien."
"You are nearly a Nightkin now. I hope the dipping will not damage your intelligence further.","Ahora eres casi una Nocturna. Espero que tu inteligencia no haya sido dañada aún más."
"You are not welcome here. Leave.","No eres bienvenida aquí. Márchate."
"You are not welcome here. Please leave.","No eres bienvenida, por favor vete."
"You are obviously a heathen! Pay for your sins!","¡Obviamente eres una hereje! ¡Paga por tus pecados!"
"You are obviously an intruder!","¡Obviamente eres un intrusa!"
"You are one ruthless son of a bitch. We might need that, but that doesn't mean that I agree with your ways. Just don't touch a child around me, or you'll be the wet spot on the wall. Go ahead and talk to Butch. He's in the office right behind me.","No eres más que una hija de puta. Puede que ahora necesitemos a una, pero eso no quiere decir que esté de acuerdo con tus métodos. No te acerques a un niño delante de mí o serás tú la mancha en la pared. Ve a hablar con Butch. Está en la oficina que hay detrás de mí."
"You are quite insolent. I believe you should leave. Do not return. You will not be welcome.","Serás insolente. Creo que deberías irte. No vuelvas. No serás bienvenida."
"You are resistant to all drugs and medications. This caused a lot of frustrations for the vault medic.                                               Your chance to become addicted to drugs is 50% of normal, but drugs only affect you half as long as normal.","Eres resistente a todas las drogas y fármacos. Esto causó mucha frustración al médico del Refugio. -50% de posibilidades de convertirte en una adicta, pero los efectos de las drogas se van en la mitad del tiempo."
"You are stupid human!","¡Eres una humana estúpida!"
"You are stupid, human!","¡Eres estúpida, humana!"
"You are suffering from Mentat addiction. You must chew on these regularly or suffer the consequences of withdrawal.","Estás enganchada a los Mentats. Debes tomar esta droga o tendrás el mono."
"You are that new friend of Garl's, are you not? What do you want?","Tú eres la nueva amiga de Garl, ¿verdad? ¿Qué quieres?"
"You are truly a hero! Know that the people of Shady Sands are most grateful.","¡Eres una verdadera heroína! Has de saber que el pueblo de Arenas Sombrías te está muy agradecido."
"You are vile and unholy. Admit it!","Eres vil y pagana. ¡Admítelo!"
"You aren't Nightkin. Guards! We have a spy...","Tú no eres una Nocturna. ¡Guardias! Tenemos una espía..."
"You asshole!","¡Cabrona!"
"You bastard!","¡Hija de...!"
"You bastard! I can't believe you killed him. All he wanted was someone to talk to. You don't care about human life, do you?","¡Bastarda! No puedo creer que lo hayas matado. Todo lo que quería era hablar. No te importa la vida humana, ¿verdad?"
"You bastard! I'll kill you!","¡Bastarda! ¡Te mataré!"
"You bastard! You've brought the devils in to our home!","¡Bastarda! ¡Has traído la mala suerte a nuestra casa!"
"You blinded me, you asshole!","¡Me has dejado ciego, mamona!"
"You cad!","¡Eres una sinvergüenza!"
"You can't determine if you're poisoned or irradiated.","Eres incapaz de determinar si estás envenenada o irradiada."
"You can't even beat up a kid","¡Ni siquiera puedes vencer a una niña!"
"You can't look at 'em! It is said the Deathclaw can hypnotize just by lookin'. Then it walks up and 'boom', you're et!","¡No puedes mirarlas a los ojos! Se cuenta que la Garra Mortal puede hipnotizarte solo con la mirada. Luego se acerca y ""bum"", ¡estás muerta!"
"You cannot harm me, child.","No puedes hacerme daño, niña"
"You could check with the merchants, although your time would be better spent sizing them up for some night removal work. While I think it's absolute bunk, ask around about the Deathclaw. Or even follow a caravan out, if you've totally lost your mind.","Puedes probar con los mercaderes, aunque creo que aprovecharías más el tiempo fichándolos para un trabajito nocturno. Aunque yo creo que es una estupidez, puedes preguntar por ahí sobre la Garra Mortal. O incluso, si estás completamente loca, puedes seguir a una caravana."
"You crazy. What do you think dis is? You better leave.","Estás loca. ¿Qué te crees que es esto? Mejor será que te vayas."
"You creep!","¡Eres una cobarde!"
"You dirty radscorpion kissing...","Eres una asquerosa escorpión rad de..."
"You dirty radscorpion-kissing...","Eres una asquerosa escorpión rad de..."
"You don't even read the lines. Unless Necropolis is forever your home to be, walk. I have no time for a foolish blood-bag.","Ni siquiera lees las líneas. A no ser que Necrópolis vaya a ser tu hogar permanente, camina. No tengo tiempo para una tonta bolsa de carne."
"You don't have enough! How dare you try to cheat me! Guido, Leone, let's bury this loser.","¿No has tenido suficiente? ¿Cómo te atreves a molestarme? Guido, Leone, cargaros a esta perdedora."
"You don't have to do that. I'm your friend.","No tienes por qué hacerlo; soy tu amiga."
"You don't show us respect, you get hurt. How much more respectability can a man ask for?","Si no nos respetas, acabarás herida. ¿Cuánto respeto puede exigir un hombre?"
"You don't? Ordinance was supposed to send one down yesterday. Look, can you help me out? If I don't get this part it's gonna be my ass. I'm sure the form will be here later today.","¿No? Se supone que los ordenanzas enviaron uno ayer. Mira, ¿puedes ayudarme? Si no consigo esa pieza me las voy a cargar. Estoy segura que el formulario llegará hoy pero algo más tarde."
"You earn 200 experience for befriending the dog.","Ganas 200 puntos de experiencia por hacerte amiga del perro."
"You earn 2000 experience for becoming an Initiate of the Brotherhood of Steel.","Ganas 2.000 puntos de experiencia por convertirte en una Iniciada de la Hermandad del Acero."
"You earn 2000 experience for sneaking into the depths of the military base without getting caught (yet...)","Ganas 2.000 puntos de experiencia por meterte a escondidas en las profundidades de la base militar sin ser capturada (todavía...)"
"You feel groggy and slow. Your brain itself seems to ache...","Te sientes atontada y lenta. Tu cerebro parece que empieza a doler..."
"You feel nauseous and need a fix. Just one more pouch, that's all!","Sientes náuseas y necesitas un chute. ¡Solo una bolsa más, eso es todo!"
"You feel very nauseous, and after some mild vomiting, slightly fatigued.","Sientes muchas náuseas, después de vomitar un poco te sientes cansada."
"You greedy asshole! Get outta here before Ton kills you!","¡Perra asquerosa! ¡Lárgate de aquí antes de que Ton te mate!"
"You greedy whore!","¡Puta avariciosa!"
"You have a very good sense of humor, my child. Just don't tell jokes to Brother Lasher. ","Tienes un sentido del humor muy bueno, hija mía. Pero no le gastes bromas al Padre Fustigador. "
"You have been poisoned.  Poison will do damage over a period of time, until it is cured or passes from your system.  Endurance increases your resistance to poison.","Has sido envenenada. El veneno te dañará durante un tiempo, hasta que te cures o hasta que salga de tu sistema. La Resistencia mejora tu resistencia al veneno."
"You have come to the wrong place, friend. This place is not about power. This place is about peace. ","Te has equivocado de sitio, amiga. Aquí no importa el poder. Lo que importa es la paz. "
"You have earned great pain, child","Te mereces mucho dolor, niña"
"You have enjoyed your trips to the vault medic a bit too much.                     You recover twice as fast as normal from the ill effects of drug addiction, but your chance to become addicted is also twice normal.","Disfrutas demasiado de tus viajes al médico del Refugio. Te recuperas el doble de rápido de los efectos adversos de las drogas, pero las posibilidades de convertirte en un adicta son también el doble de lo normal."
"You have erred again, human. Human!","Has vuelto a fallar, humana. ¡Humana!"
"You have killed many evil-doers of the wastes, revealing you to be a champion of the people. Your war against chaos and villainy is widely known.","Al haber matado muchos malhechores del yermo muestras ser un campeona de la gente. Tu lucha contra el caos y la villanía es ampliamente reconocida."
"You have more than enough to make the donation. You need schooling in math, my child.","Tienes más que suficiente para hacer la donación. Necesitas estudiar matemáticas, niña mía."
"You have no idea what you are dealing with, human","No tienes ni idea de a lo que te enfrentas, humana"
"You have not heard of me? I am hurt! My name is Vasquez Villanova Hernandez Ortega. I am a famous desperado, my friend. And, if you have need, I am a gun for hire.","¿Nunca has oído hablar de mí? ¡Me duele! Me llamo Vásquez Villanueva Hernández Ortega. Soy un famoso forajido, amiga. Y, si lo necesitas, soy un pistolero a sueldo."
"You haven't finished your little job. [whispering] You know what's at stake here. You do it and you get rich and we're all happy. Fail and no one's going to be happy.","No has acabado tu trabajito. [Susurrando] Ya sabes como funciona esto. Haces tu trabajo y te conviertes en una tía rica y todos tan contentos. Si fallas, nadie estará contento."
"You human. Me mutant. Mutant kill human.","Tú, humana. Yo, mutante. Mutante mata humana."
"You insolent cur!","¡Eres una insolente perra sarnosa!"
"You is dead!","¡Estás muerta!"
"You is needing a new attitude, punk.","Necesitas comportarte de otro modo, mocosa"
"You just don't have the hang of this, do you? Jasmine, the door for our foolish friend and don't let me see that face again.","No le terminas de coger el tranquillo a esto, ¿verdad? Jasmine, acompaña a nuestra estúpida amiga; y no quiero volver a ver su careto."
"You killed the Master. The death of the Unity is your fault. You have caused the death of the human race. I hope you feel good about yourself.","Mataste al Maestro. La muerte de la Unidad es culpa tuya. Has provocado la muerte de la raza humana. Espero que estés satisfecha."
"You know, *sigh* I don't like it when people insult me in my own place. Izo, escort our guest out... through the window.","Sabes, *suspira* no me gusta la gente que me insulta en mi propia casa. Izo, muéstrale a nuestra invitada... la ventana."
"You know, I found something very interesting after you was last here. If there's one thing I can't stand more than a lousy pepperoni pizza, it's a snitch. Boys!","¿Sabes? Encontré algo muy interesante cuando te marchaste la última vez. Si hay algo que me dé más asco que una hamburguesa recalentada es un chivata. ¡Chicos!"
"You lie, Initiate! This is how we deal with thieves...","¡Mientes, Iniciada! Así nos ocupamos de los ladrones..."
"You little bastard!","¡Pequeña bastarda!"
"You look again and don't see anything. You decide it was just the shadows playing tricks on your eyes.","Buscas de nuevo y no ves nada. Te dices a ti misma que deben de haber sido las sombras jugando con tus ojos."
"You look distraught. Are you in need of assistance?","Pareces agitada. ¿Necesitas ayuda?"
"You look hurt. Here, let me help you.","Parece que estás herida. Venga, déjame ayudarte."
"You look like one of those raiders. We keep a close watch here in Shady Sands. What do you want?","Pareces una de esos saqueadores. Observamos todo lo que ocurre en el pueblo. ¿Qué quieres?"
"You look okay to me. All those rumors must be untrue.","Me resultas simpática. Todos esos rumores debían ser falsos."
"You looked. Now, what do you want? Think quick. It may mean the difference between walking out of here and becoming a permanent resident.","Ya has mirado. Y ahora, ¿qué quieres? Piénsalo rápido. Eso podría ser la diferencia entre salir de aquí andando o volverte una residente de forma permanente."
"You loser! Why don't you just crawl out into the Glow and lick puddles? Stupid drunken addict asshole!","¡Eh, fracasada! ¿Por qué no te vas al Ardor y chupas los charcos? ¡Siempre dándole al frasco, repugnante criatura caprichosa!"
"You loser, you said we were going to whack Killian. Get out of here.","Eres una perdedora, dijiste que íbamos a darle una paliza a Killian. Largo de aquí."
"You may be human, but that still doesn't make your Unity right. I guess we will be enemies.","Puede que seas humana, pero eso no hace de tu Unidad algo bueno. Creo que seremos enemigos."
"You missed, normie!","¡Has fallado, tía!"
"You must be joking! You think I'd fall for a line like that! Get out, you commoner!","¡Debes estar bromeando! ¡Creías que me iba a tragar eso! ¡Fuera de aquí, plebeya!"
"You must be one of those wimpy little purple robes. Get out of here before we blow you away.","Tú debes ser una de esas cobardicas con túnicas púrpura. Largo de aquí antes de que te machaque."
"You must be so proud of yourself.","Debes sentirte muy orgullosa de ti misma."
"You must fend for yourself.","Debes valerte por ti misma."
"You must learn manners, child","Tienes que aprender modales, chica"
"You must learn manners, child.","Debes aprender modales, niña"
"You must make your life in the outside world from now on. Good luck, friend.","Debes seguir tu vida en el mundo exterior. Buena suerte amiga."
"You must think me quite gullible, wanderer. You conquered the mountains by yourself?","Debes creer que soy un crédulo, moradora. ¿Conquistaste las montañas en solitario?"
"You must think you're pretty good","Debes creer que eres muy buena"
"You need more help than I can give you, child. May Dharma be with you.","Necesitarás más ayuda de la que pueda darte, hija. Que Dharma esté contigo."
"You no hurt me when you dead!","¡No me harás daño cuando estés muerta!"
"You obviously don't share Gizmo's brilliance. This place is a respite from the harshness of everyday life.","Obviamente no eres tan lista como Gizmo. En este lugar se puede uno escapar de la dura vida diaria."
"You punk...","Mamona"
"You ready to take out Neal?","¿Lista para encargarte de Neal?"
"You sadistic son of a...","Eres una sádica hija de..."
"You saved the Vault. You should be proud. But now, we need your report. We'll get it from you in the library. Please go there now.","Has salvado el Refugio. Deberías estar orgullosa. Pero ahora necesitamos tu informe. Debes entregarlo en la biblioteca. Ve ahora, por favor."
"You say me stupid? ","¿Me llamas estúpida? "
"You screamed like a castrated pig! Ha ha ha!","¡Gritas como una gallina desplumada! ¡Ja! ¡Ja! ¡Ja!"
"You screwball!","¡Chiflada!"
"You screwed it up again. You just can't seem to handle this line of work.","La has vuelto a cagar. Simplemente no eres la más indicada para este trabajo."
"You see a ghoul undergrounder.","Ves: a un subterráneo."
"You see: Nightkin scout.","Ves un explorador nocturno."
"You seem like a liar and a cheat to me.","Creo que eres una mentirosa y una tramposa."
"You seem to be an alright lad, but me times busy with keeping the Blades schooled. If things were to straighten themselves, I might be havin' the time then.","Pareces una buena chica, pero ya estoy demasiado ocupado instruyendo a los Navajas. Si las cosas se arreglaran por sí mismas, entonces tendría tiempo."
"You should be proud of yourself for all you've accomplished. We depended on you and you came through. Now let's talk about your future... ","Deberías sentirte orgullosa de ti misma por todo lo que has conseguido. Contamos contigo y no nos defraudaste. Ahora, hablemos de tu futuro..."
"You should have saved Sinthia. It's your fault she died. I hope you are happy with yourself.","Deberías haber salvado a Sinthia. Ha muerto por tu culpa. Espero que estés satisfecha."
"You should not resist me child. We will work on that.","No deberías resistirte a mí, niña. Trabajaremos en eso"
"You should not try to fool me by playing dumb. I tire of this...","No intentes volverme loco haciéndote la tonta. Estoy cansado de esto..."
"You should spend several weeks of meditation and fasting here, and then approach one of the elders. Or you could volunteer for service work.","Deberías pasar algunas semanas de meditación y abstinencia y luego acercarte a uno de los ancianos. O podrías ofrecerte voluntaria para trabajos de servicio."
"You shouldn't be in here Initiate.","No deberías estar aquí, Iniciada."
"You shouldn't be in here, Initiate.","No deberías estar aquí, Iniciada."
"You sick dogs! I tire of your life!","¡Estúpidos! ¡Estoy cansada de vosotros!"
"You sinner!","¡Pecadora!"
"You skag! That hurt!","¡Eso duele, tía!"
"You slime!","¡Babosa!"
"You son of a bitch. I can't believe you killed him. He was a good man, and now I get all sorts of hell... get out, and don't come back.","Eres una malnacida. No me creo que lo hayas matado. Era un buen hombre, y ahora mi vida es un infierno... vete y no vuelvas."
"You son of a...","Eres una hija de..."
"You stay away from him, okay? Take it from me, he is not the kind of patron he wants to make you think he is. Stay away.","Mantente alejada de él, ¿vale? Créeme, no es el tipo de patrón que quiere hacerte creer que es. Aléjate."
"You studied less-combative skills as you were growing up. Your combat skills start at a lower level, but First Aid, Doctor, Speech and Barter are substantially improved.","De pequeña estudiaste habilidades poco combativas. Tus habilidades en combate comienzan en un nivel más bajo, pero en Primeros Auxilios, Médico, Conversación y Trueque has mejorado notablemente."
"You stupid little fool","Pequeña tonta estúpida"
"You sunnovabitch","Tú, hijaputa"
"You sure you can't find someone else?","¿Seguro que no puedes buscar a otra para que lo haga?"
"You think I could become a Paladin?","¿Crees que yo podría llegar a ser una Paladín?"
"You think me moronic, like many of my kind. You are sadly mistaken. It is a terminal problem, I understand.","Piensas que soy idiota como muchos de mi especie. Estás muy equivocada. Creo que es un problema mental."
"You think you're tough? Don't make me laugh!","¿Crees que eres muy dura? ¡No me hagas reír!"
"You too stupid to be a Child. You must be intruder!","Eres demasiado estúpida para ser una de los Niños. Debes de ser un intrusa."
"You tryin' to swat flies, mug?","¿Intentas aplastar moscas, prima?"
"You unspeakable little savage!","¡Pequeña salvaje innombrable!"
"You walk for him? You're his sneak, straight? Here to skin me? Oh, I swear, you'll tombstone too.","¿Trabajas para él? Eres su chivata, ¿verdad? Estás aquí para fastidiarme, ¿no? Oh, te juro que tú también morirás."
"You want employ, walker? Show me you can scuffle. Take down the mutants at the Watershed. Show 'em the bad time and you're good.","¿Buscas trabajo, caminante? Demuestra que sabes pelear. Acaba con los mutantes que hay en el Almacén de Agua. Hazles pasar un mal rato, si eres buena."
"You want everyone to act like the people in this room? That's worse than being dead!","¿Quieres que todos actúen como la gente de esta sala? ¡Eso es peor que estar muerta!"
"You want to buy something, friend?","¿Quieres comprar algo, amiga?"
"You want to help? I don't think you are good enough to help me out. Go talk to Neil.","¿Quieres ayudar? No creo que seas lo bastante buena para ayudarme. Ve a hablar con Neil."
"You want to join us, huh? How do we know you're tough enough to be a Skul?","¿O sea que quieres unirte a nosotros? ¿Cómo sabemos que eres lo bastante dura como para ser una de los Kalaveras?"
"You were not particularly welcome here in the first place. Good riddance to you.","No eras muy bien acogida aquí antes. Ya era hora."
"You will become one with the Unity!","¡Te convertirás en una más de la Unidad!"
"You will have to find the answer to that question yourself. Praise the Master! Praise the Holy Flame! ","Tendrás que encontrar la respuesta a eso tú sola. ¡Alabado sea el Maestro! ¡Alabada sea la Llama Sagrada! "
"You won't win, human","No ganarás, humana"
"You zombies make me sick! I want to kill each and every one of you! ","¡Los zombis me ponéis enferma! ¡Quiero mataros hasta el último! "
"You'd better behave, since it's the law, and I enforce the law. Put your weapon away, don't draw it unless in self-defense, and you won't have a problem with us guards. Disobey the law, and we will return you to the lawless wasteland - dead or alive.","Será mejor que te comportes, porque ésa es la ley y yo la impongo. Aparta tu arma y no la saques a no ser que sea en defensa propia y no tendrás problemas con nosotros, los guardias. Desobedece la ley y te devolveremos al yermo, donde no hay ley... viva o muerta."
"You'd better behave, since it's the law, and I enforce the law. Put your weapon away. Don't draw it unless in self-defense and you won't have a problem with us guards. Disobey the law and we will return you to the lawless wasteland - dead or alive.","Será mejor que te comportes porque ésta es la ley y soy yo quien la impone. Aparta tu arma. No la desenfundes a no ser que sea en defensa propia y no tendrás problemas con nosotros, los guardias. Desobedece la ley y te devolveremos al yermo, donde no hay ley... muerta o viva."
"You'd better keep your weapons holstered, stranger.","Deberías mantener guardadas tus armas, forastera."
"You'll be so pretty when you're dead","Estarás tan guapa cuando mueras..."
"You're a freakin' psycho!","¡Eres un asquerosa psicópata!"
"You're a joke","Eres una payasa"
"You're a little too young to understand how much fun I can be.","No. Eres demasiado joven para entender lo simpática que puedo llegar a ser."
"You're a misshapen mutant!","¡Eres una mutante deforme!"
"You're a smart little ass, aren't you? Well, it doesn't matter to me! Just as long as you defend the caravans, I'll be satisfied. Go talk to Keri in the next room if you want a job.","Te crees muy lista, ¿verdad? Bueno, ¡eso no me importa! Mientras defiendas las caravanas, yo estaré satisfecho. Si quieres un trabajo, vete a hablar con Keri que está ahí al lado."
"You're about to get real ugly","Estás a punto de ponerte muy fea"
"You're aiming wild, punk","Apuntas a tu manera, mocosa"
"You're an Outsider, but I expect you to learn our ways. I'll be watching. Now, ask your questions. ","Eres una Forastera, pero espero que aprendas nuestras costumbres. Te estaré vigilando. Ahora haz tus preguntas. "
"You're an annoying little human, aren't you? I'm not going to repeat it again.","Eres un pequeña humana muy pesado, ¿no es así? No lo voy a repetir otra vez."
"You're an even bigger loser than Killian","Eres más perdedora que el propio Killian"
"You're an even bigger loser than the zombies!","¡Eres incluso peor perdedora que los zombis!"
"You're an idiot.","Eres una idiota."
"You're an underhanded SOB, you know that?","Eres una despreciable HDP, ¿lo sabías?"
